Time,Iter,Assembly_ID,Obj_name,Density,Mass,MaxTemperature,Max_stress,Yield_stress,Parent_id
48.0,192,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,142.431925,271.906534,968.187988,0,0,1
48.25,193,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,142.217337,271.496879,974.882019,0,0,1
48.5,194,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.971955,271.028439,980.77002,0,0,1
48.75,195,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.744729,270.594657,981.197998,0,0,1
49.0,196,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.586691,270.292959,976.01001,0,0,1
49.25,197,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.510582,270.147664,965.875,0,0,1
49.5,198,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.484922,270.098679,955.088013,0,0,1
49.75,199,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.47855,270.086514,943.08197,0,0,1
50.0,200,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.478296,270.08603,934.026001,0,0,1
50.25,201,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.478131,270.085715,926.122986,0,0,1
50.5,202,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.47806,270.085578,918.963013,0,0,1
50.75,203,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.478037,270.085535,912.367981,0,0,1
51.0,204,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.478037,270.085535,906.247986,0,0,1
51.25,205,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.478037,270.085535,903.747986,0,0,1
51.5,206,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.478037,270.085535,905.778015,0,0,1
51.75,207,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.470373,270.070904,913.671021,0,0,1
52.0,208,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.443796,270.020167,921.942993,0,0,1
52.25,209,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,141.384127,269.906258,929.875977,0,0,1
